,URL,Lastmod,Title,Description
0,https://ntrs.nasa.gov/citations/20220012337,2023-08-03,Flying Beyond Flutter with the X-56A Aircraft,"The National Aeronautics and Space Administration X-56A Multi-Utility Technology Testbed was
successfully flown beyond flutter using active feedback control methods. This report discusses the flight-test methods used during envelope expansion and presents the data collected. The frequency and damping of rigid-body flight dynamic modes and the first two structural modes were estimated from the flight data. The flutter mechanism (body freedom flutter) was found to match predictions with coupling occurring between the short period and the first symmetric wing bending mode. Flights up to the instability threshold and beyond were conducted using active feedback control. Several tests were conducted in flight where the control system was disabled momentarily to observe the unstable flutter mode and then reengaged; thus, demonstrating active suppression."
1,https://ntrs.nasa.gov/citations/20220012680,2023-08-03,Space Trusted Autonomy Readiness Levels,"Technology Readiness Levels are a mainstay for organizations that fund, develop, test, acquire, or use technologies. Technology Readiness Levels provide a standardized assessment of a technology’s maturity and enable consistent comparison among technologies. They inform decisions throughout a technology’s development life cycle, from concept, through development, to use. A variety of alternative Readiness Levels have been developed, including Algorithm Readiness Levels,  manufacturing Readiness Levels, Human Readiness Levels, Commercialization Readiness Levels, Machine Learning Readiness Levels, and Technology Commitment Levels. However, while Technology Readiness Levels have been increasingly applied to emerging disciplines, there are unique challenges to assessing the rapidly developing capabilities of autonomy. This paper adopts the moniker of Space Trusted Autonomy Readiness Levels to identify a two-dimensional scale of readiness and trust appropriate for the special challenges of assessing autonomy technologies that seek space use. It draws inspiration from other readiness levels’ definitions, and from the rich field of trust and trustworthiness. The Space Trusted Autonomy Readiness Levels were developed by a collaborative Space Trusted Autonomy subgroup, which was created from The Space Science and Technology Partnership Forum between the United States Space Force, the National Aeronautics and Space Administration, and the National Reconnaissance Office."
2,https://ntrs.nasa.gov/citations/20220014634,2023-08-03,An Engineering Guide to Lunar Geotechnical Properties,"The renewed interest in returning human and robotic explorers to the lunar surface has identified a need for a renewed understanding of lunar geotechnical properties related to landing, exploration, excavation, and construction activities on the lunar surface.   This paper summarizes measurements conducted during US and Russian/Soviet landed missions as well as experiments performed on returned samples to establish fundamental geotechnical properties such as particle size distribution, particle shape, bulk density, shear strength, cohesion and bearing strength.  While many of these properties are well known, how they vary with increased lunar soil depth is less understood, and those properties that vary significantly as a function of depth are explored in additional detail.  Selected examples discuss mechanical excavation forces, rocket exhaust erosion forces, and the preparation of launch/landing pad surfaces, with the goal of a better understanding of lunar soil geotechnical properties that apply to large-scale exploration of the lunar surface and dictate the design of future exploration systems."
3,https://ntrs.nasa.gov/citations/20220015637,2023-08-03,Experimental Validation of an Acoustically and Aerodynamically Optimized UAM Proprotor Part 1: Test Setup and Results,"Vehicles with vectored thrust capabilities are common configurations proposed for Urban Air Mobility (UAM) flight missions. These include proprotor systems capable of vertical takeoff and landing (VTOL), axial forward flight, and the intermediate transition phases of vehicle flight. The aerodynamic loading requirements as well as resulting acoustics during these different phases of flight can vary considerably. An optimization effort was undertaken with the objective of minimizing radiated tonal acoustics of a proprotor system for both static hover and axial forward flight conditions, while simultaneously preserving aerodynamic performance relative to a baseline propeller design."
4,https://ntrs.nasa.gov/citations/20220015670,2023-08-03,Establishing Standardized Test Methods for Evaluating Space Suit Gloves,"The Artemis space suit glove environmental protection garment (EPG) will be the first line of protection used to protect the crewmember’s hands from the environments encountered during extravehicular activity (EVA). As the Artemis missions will include more extreme environments, it is necessary to define tests to evaluate if gloves can meet new, challenging requirements. The NASA  Engineering  and  Safety  Center  (NESC)has funded  an  effort with the goal  to  help vendors to produce a space suit glove that is sufficiently durable to meet the needs of the Artemis missions. Three problems were identified in meeting that goal. First, there are no standardized tests defined to evaluate the durability of space suit gloves for the extreme lunar environments. Second, there is insufficient data on glove performance in a lunar environment from which to compare new designs. And third, current ISS glove TMG fabrics are unlikely to be sufficient to meet Lunar requirements. Four tasks were established to answer different aspects of these three problems. Task 1 focused on the characterization of potential glove fabrics using ASTM standardized test methods when possible. When one did not exist, new standardized test procedures were devised.  Task 2 focused on developing a procedure for characterizing the thermal performance of a glove assembly.  Task 3 focused on devising a standard procedure for characterizing the dust/abrasion resistance of a space suit glove. Task 4 focused on devising a standard procedure for characterizing the cut resistance of a space suit glove while at cryogenic temperatures. The new procedures created in Tasks 2, 3 and 4 were then validated by testing the Phase VI glove to collect baseline data. This paper will summarize the approach used to establish standardized test methods for each task and will expound on the ASTM process to publish the new standards."
5,https://ntrs.nasa.gov/citations/20220015690,2023-08-03,Manufacturing and Mechanical Testing of TC1225/LM-PAEK and TC1200/PEEK Thermoplastic Composite Panels,"Development of thermoplastic composites (TPCs) for aerospace structures is experiencing renewed enthusiasm attributed to the availability of rapid manufacturing technology, ease of joining through fusion welding processes, and the successful utilization of the material in flight critical structures. Semicrystalline thermoplastics such as polyether ether ketone (PEEK), polyether ketone ketone (PEKK), and polyphenylene sulfide (PPS) have been successfully demonstrated as thermoplastic skins, keel beams, and angle brackets for commercial aircraft.

Composite specimens were fabricated from the Toray TC1225 and TC1200 unidirectional prepreg systems and tested to gain confidence with NASA in-house TPC processing as part of the Thermoplastics Development for Exploration Application (TDEA) project. TC1225 is a relatively new material system that uses T700GC fibers and low-melt polyaryl ether ketone (LM-PAEK) resin. TC1200 is the latest version of a material system that has been available for several decades with AS4 fibers and PEEK resin. Results for ultrasonic inspection, optical microscopy, acid digestion, and differential scanning calorimetry establish the quality of the panels. Mechanical test data for unnotched and notched laminate tension and compression as well as compression after impact provide data for equivalency assessment and support material selection in TDEA. Satisfactory equivalence of the TC1225 results and the National Center for Advanced Materials Performance (NCAMP) database was found. The results indicate high-quality manufacturing was achieved, and the resulting mechanical test data are in agreement with that in the literature."
6,https://ntrs.nasa.gov/citations/20220016183,2023-08-03,A Remote Vehicle Operations Center’s Role in Collecting Human Factors Data,"The National Aeronautics and Space Administration is supporting research to develop a prototype remote vehicle operations center at Langley Research Center to explore current and future advanced air mobility operations using small unmanned aerial systems vehicles as surrogates for future, larger-scale passenger carrying vehicles. Data collected within the Remote Operations for Autonomous Missions (ROAM) Unmanned Aerial Systems (UAS) Operations Center will be used to explore different roles and responsibilities of remote operators managing multiple autonomous vehicles, with the goal of exploring human-autonomy teaming concepts that enable m:N operations (i.e., m operators managing N vehicles). ROAM has developed into a world-class research, development, and technology (RD&T) environment that can support both the collection of human factors data and the command and control of remote vehicles in beyond visual line of sight conditions. Presented in this paper is an overview of ROAM, with a focus on the design components that support human factors data collection and a review of initial usability results of the facility."
7,https://ntrs.nasa.gov/citations/20220016371,2023-08-03,Survey of Quantum Technologies in Aerospace,
8,https://ntrs.nasa.gov/citations/20220016626,2023-08-03,Flow Control for Enhanced Aileron Effectiveness on a Commercial Aircraft,"Active flow control was applied to the ailerons of a representative future short/medium-range twin-engine airplane to improve aerodynamic performance during high-lift operations. The study is aimed at reduced drag and enhanced lift over the range of practical angles of attack, including stall. These benefits translate to airplane performance improvements, such as longer range or larger payload. Various flow control techniques were explored using Computational Fluid Dynamics and the aerodynamic performance enhancements were benchmarked against the baseline configuration. The computational analyses are used to quantify aerodynamic benefits, as well as the input required for actuation. The results were used in a system integration study for identifying potential practical implementations, which are described in a companion paper. Combined with the integration analysis, the objective of this project is to identify the most promising flow control candidates that potentially provide material net airplane level enhancements using onboard fluidic sources. The current study indicates that up to 5% net improvement in L/D at takeoff is potentially achievable using active flow control on the aileron, after accounting for factors of system integration."
9,https://ntrs.nasa.gov/citations/20220017032,2023-08-03,"Using FRET to Create, Analyze and Monitor Requirements for a Lift Plus Cruise Case Study","In this technical report we provide information on the use of the NASA Formal RequirementsElicitation Tool (FRET) to create requirements for a Lift Plus Cruise (LPC) aircraft case study.  Furthermore, we provide details on using FRET to translate these requirements into an appropriate format for the Copilot tool, enabling their usage to perform runtime verification on a synthesized LPC system."
